I,V,T,t,incl,vel
3.041e-06,-0.4342,0.0,0.0,0.0,0.0
3.034e-06,-0.4341,0.0,0.0,0.0,0.0
3.025e-06,-0.4339,0.0,0.0,0.0,0.0
3.019e-06,-0.4337,0.0,0.0,0.0,0.0
3.01e-06,-0.4336,0.0,0.0,0.0,0.0
3.001e-06,-0.4334,0.0,0.0,0.0,0.0
2.994e-06,-0.4332,0.0,0.0,0.0,0.0
2.984e-06,-0.4331,0.0,0.0,0.0,0.0
2.976e-06,-0.4329,0.0,0.0,0.0,0.0
2.973e-06,-0.4327,0.0,0.0,0.0,0.0
2.963e-06,-0.4326,0.0,0.0,0.0,0.0
2.955e-06,-0.4324,0.0,0.0,0.0,0.0
2.947e-06,-0.4322,0.0,0.0,0.0,0.0
2.938e-06,-0.4321,0.0,0.0,0.0,0.0
2.93e-06,-0.4319,0.0,0.0,0.0,0.0
2.925e-06,-0.4317,0.0,0.0,0.0,0.0
2.92e-06,-0.4316,0.0,0.0,0.0,0.0
2.907e-06,-0.4314,0.0,0.0,0.0,0.0
2.903e-06,-0.4312,0.0,0.0,0.0,0.0
2.897e-06,-0.4311,0.0,0.0,0.0,0.0
2.886e-06,-0.4309,0.0,0.0,0.0,0.0
2.88e-06,-0.4307,0.0,0.0,0.0,0.0
2.877e-06,-0.4306,0.0,0.0,0.0,0.0
2.865e-06,-0.4304,0.0,0.0,0.0,0.0
2.856e-06,-0.4302,0.0,0.0,0.0,0.0
2.851e-06,-0.4301,0.0,0.0,0.0,0.0
2.843e-06,-0.4299,0.0,0.0,0.0,0.0
2.834e-06,-0.4297,0.0,0.0,0.0,0.0
2.831e-06,-0.4296,0.0,0.0,0.0,0.0
2.821e-06,-0.4294,0.0,0.0,0.0,0.0
2.816e-06,-0.4292,0.0,0.0,0.0,0.0
2.814e-06,-0.4291,0.0,0.0,0.0,0.0
2.804e-06,-0.4289,0.0,0.0,0.0,0.0
2.797e-06,-0.4287,0.0,0.0,0.0,0.0
2.791e-06,-0.4286,0.0,0.0,0.0,0.0
